Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Djibouti,GDP (current US$),"395794538,6","409220087,1","452328087,3","462421998,5","478058304,9","466048469,2","491689220,7","497723960,6","494004647,7",502675542,"514267869,3","536080148,1","551230861,9","572417440,8","591122039,6","622044665,5","666072101,8","708633194,7",768873684,"847918929,1","999105339,3",1049110685,1128611700,1239144502,1353632942,2042817163,2214679081,2424391785,2604955229,2762581334,2913466732,3088853639,3181071154,3372287462,3515109075
Dominica,GDP (current US$),"171106184,1",185137243,"201429629,6",219762963,"234059259,3","245525925,9","264374074,1","274522222,2","292285185,2","302988888,9","322411111,1","331759259,3","333470370,4","340203703,7","333196296,3","343311111,1",367200000,"364255555,6","390251851,9","421374074,1","458188888,9","489074074,1","493825925,9","501025925,9","485996296,3","498296296,3","520207407,4",540737037,"576229629,6","521551851,9","554770370,4",611537037,"504214814,8","555266666,7","612048148,1"
Dominican Republic,GDP (current US$),5374300275,6686593060,7073675545,9824483368,11605382504,13081042400,14644734248,16637370839,18241622256,20017449966,21672215776,22136579527,24305781112,25601824419,27137441266,21403168128,22322387610,35777560475,37879829855,43965459071,48122601590,48261079524,53860187452,58029773802,60681535894,62682158700,67179956265,71164826720,75704647977,79998045976,85555390386,88941371980,78844655833,94243426487,113641857434
East Timor,GDP (current US$),,,,,,,,,,,,,367087900,477443500,469506700,490439100,440764600,462283600,453805100,542795400,648492700,726882400,881827800,1042411500,1160389600,1395519600,1447310400,1594447600,1650619400,1595724300,1563887900,2028551600,2158392500,3621222400,3163324631
Ecuador,GDP (current US$),13051886552,13890828708,15239278100,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,99291124000,106165866000,115049476000
"Egypt, Arab Rep.",GDP (current US$),34980124929,39756299050,42978914311,37387836491,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,96684636119,85146067416,80288461538,78782467532,89600665557,107426086957,130437828371,162818181818,189147005445,218983666062,235989672978,279116666667,288434108527,305595408895,329366576819,332441717791,248362771739,262588632527,318678815490,383817841547,424671765456,476747720365
El Salvador,GDP (current US$),4189880000,4372215300,4817542204,5252342400,5813399300,6680269200,7679384000,8921947100,9586327800,10221705900,10936669900,11284197000,11784927700,12282533600,12664190300,13243892200,13724810900,14698000000,15999890000,17011750000,17986890000,17601620000,18447920000,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24930080000,29451240000,32488720000
Eritrea,GDP (current US$),,,,,"477101651,6","467872714,8","531688311,7",578015625,"693535954,2","686490090,1","745523074,7","688918508,9","706370815,6","752371683,2","729321671,4","870248293,7",1109054005,1098424709,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,,,,,,,,,,,
Estonia,GDP (current US$),,,,,,,,4502970889,4786018988,5154420649,5674080543,5756912266,5686579748,6254649539,7367975888,9874013098,12145911801,14106790200,17022870405,22449129483,24341678629,19633031398,19523477326,23213994093,23019150071,25115753366,26634083965,22890762090,24072829277,26924385103,30624720196,31081901909,31370395573,37191166152,38100812959
Eswatini,GDP (current US$),"692026606,9","696921409,5",1114694112,1156135718,1284759852,1357189725,1419294121,1698989464,1602741772,1716714194,1576908809,1547888454,1738093757,1542477309,1432221784,2197598418,2770082792,3178112332,3291329938,3469381231,3294084181,3580427986,4438765109,4820478592,4886551706,4597552949,4422986447,4063245671,3816019223,4402969226,4666598024,4466214522,3982236726,4748702401,4854167638
Ethiopia(excludes Eritrea),GDP (current US$),10908935749,11476584879,12175166763,13463868357,10492993078,8830712714,6927950565,7663984568,8547939731,8589233420,7818205972,7700833482,8242349955,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648276190,55612228234,64589329345,74296745599,81770886909,84269196152,95912607970,107657734392,111261882913,126783472501
Faeroe Islands,GDP (current US$),,,,,,,,,,,1104744290,1127684827,1067109509,1160268142,1275093662,1501941505,1724770867,1759739599,2017680722,2339015385,2489873331,2296065313,2331796784,2505740886,2427200583,2690110671,2914012852,2573906036,2813278761,2980057168,3188601035,3275684065,3248670978,3649878680,
Fiji,GDP (current US$),1110009264,1182660000,1337017259,1383883719,1532411209,1636101247,1825732093,1970301019,2128696644,2090221137,1653146994,1936459986,1678219508,1652462063,1833279985,2300492002,2708078477,2980403465,3076305453,3378314600,3523185920,2870624636,3140167239,3779412255,3972028510,4189968870,4857103847,4682480304,4930213788,5353468388,5581425891,5481692622,4477030180,4296235428,4943248200
Finland,GDP (current US$),109058990760,119012054870,141438345514,127773856786,112532519246,89214114708,103299943085,134189814815,132129174217,126912152102,134038718291,135264083659,126019543413,129533107312,140404460203,171652458349,197479443979,204885494686,217089269792,256378067752,285716311137,253497520829,249424310817,275604356167,258290060228,271362405891,274862826772,234534382385,240771351299,255647979916,275708001768,268514916973,271886077382,296387625264,280825957768
Fm Sudan,GDP (current US$),14372555556,21408111111,33641222222,44171194366,7031933492,8881010081,12793798418,13830369852,9018303128,11681179571,11250220603,10682027635,12257299147,15716361539,18137126092,21355295732,26646007251,35182707174,45263824686,59440139775,64833088568,58315346841,74151157012,78402841445,63196236489,66027147865,76818773785,84984672416,102943515503,129718581297,32333780383,32338079165,27034593750,34229513775,51662241775
France,GDP (current US$),1018847043277,1025211803414,1269179616914,1269276828276,1401465923172,1322815612694,1393982750473,1601094756210,1605675086550,1452884917959,1503108739159,1493151737698,1365639660792,1377657339291,1501409382971,1844544792037,2119633181634,2196945232436,2320536221305,2660591246212,2930303780828,2700887366932,2645187882117,2865157541994,2683671716967,2811876903329,2855964488590,2439188643163,2472964344587,2595151045198,2790956878747,2728870246706,2639008701648,2957879759264,2782905325625
French Polynesia,GDP (current US$),2723496362,2731683490,3320159523,3410078974,3713785776,3544608541,3676123796,4186994271,4166072830,3762859109,3903186595,3911602000,3599845482,3573808551,3965405557,4927780605,5564109988,5705052111,5877997997,6631156411,7136741398,6584557942,6086644791,6203940049,5692858094,6031827089,6151996535,5325846342,5497036487,5833352684,6135116261,6022276207,5731835679,6080359305,
Gabon,GDP (current US$),3834503378,4186411457,5952293766,5402919788,5592390833,4378645081,4190819347,4958845649,5694040000,5326817111,4483417313,4662992036,5080483628,5023265411,5335451104,6511903364,7770219004,9582783997,10327598309,12455409575,15571348329,12113699059,14372593014,18210307754,17170464001,17595744804,18203966900,14383107763,14023890264,14929487496,16867326390,16874405460,15314577168,20217946921,21071739228
"Gambia, The",GDP (current US$),"266672202,5","284120331,6","317083688,2","690311093,2","714254263,1",755040935,746493955,"785999879,7","848239405,6","803633368,7","840285264,6","814724055,9",782913866,"687410630,5","578235309,3","487038679,4","961900640,7",1027701056,1054112488,1279703030,1561766956,1450142497,1543294945,1409693594,1415004743,1375609460,1229461732,1378176606,1484578897,1504909448,1670671340,1813609679,1812170878,2038414974,2273060863
Georgia,GDP (current US$),,,7753501868,6357615894,3690328964,2701181331,2514070772,2693768413,3095047604,3510520231,3613498183,2800026344,3057475335,3219462780,3395766678,3991377904,5125365192,6410912050,7745249284,10172933118,12795147992,10766919442,12243219360,15107482383,16488819133,17190068236,17627336228,14953675993,15141598623,16242647230,17596922470,17470436259,15842922533,18629365612,24605375420
Germany,GDP (current US$),1401233225303,1398967436804,1771671206876,1868945197407,2131571696932,2071323790370,2205074123177,2585792275147,2497244606187,2211989623280,2238990774703,2194945278873,1947981991012,1945790973803,2078484517475,2501640388482,2814353869359,2846864211175,2994703642024,3425578382922,3745264093617,3411261212652,3399667820000,3749314991051,3527143188785,3733804649549,3889093051023,3357585719352,3469853463946,3690849152518,3974443355020,3888226035921,3889668895300,4259934911822,4072191736090
Ghana,GDP (current US$),5197840973,5251764270,5889174834,6603130040,6416079342,5968905679,5446370115,6464389656,6932984636,6891433841,7482072380,7718110781,4982849054,5314871684,6166197192,7632720680,8881419348,10744562615,20885042153,24827333947,28679383241,26048726186,32197648061,39336668081,41271708600,62824629066,54783320577,49406014245,56164933479,60405920071,67298913752,68337974419,70043095503,79156409410,72838798788
